path	anchor	finding	classification	canonical_owner_before	canonical_owner_after	action	reason	validation
AGENTS.md	Agent discovery	Calls rust/PARITY.md detailed Rust migration truth although source ownership transition is complete	CURRENT_STALE,REWRITE	AGENTS.md and rust/PARITY.md	AGENTS.md for law; rust/PARITY.md for current capability	Rewrite label and link description	Standing law and mutable capability need distinct owners	Post-cleanup tracked reference audit
README.md	Current represented scope	Copies a detailed mutable capability and absence list and links a redundant retired-C++ subsystem page	CURRENT_DUPLICATE,REWRITE	README.md competing with rust/PARITY.md and subsystem pages	rust/PARITY.md for capability; PROJECT_HISTORY.md for history	Collapse to stable summary and canonical links	Root README is orientation not a capability ledger	Local links and duplicate-owner audit
docs/INDEX.md	Agent Discovery Order and Canonical owners	Names a migration ledger and historical parity record as current discovery truth	CURRENT_STALE,REWRITE	docs/INDEX.md	rust/PARITY.md as represented-machine capability owner	Rewrite navigation wording	Discovery must describe current ownership	Context verifier and reference audit
docs/INDEX.md	Subsystem context	Links a retired historical page as if it were an active subsystem	CURRENT_STALE,REMOVE	docs/context/subsystems/historical-cpp-reference.md	docs/context/PROJECT_HISTORY.md and DECISION_LOG.md	Remove navigation entry	Retired source is chronology not an active boundary	Context verifier and local links
docs/context/README.md	One fact one owner	Calls the capability owner detailed machine migration truth	CURRENT_STALE,REWRITE	docs/context/README.md	rust/PARITY.md for capability; PROJECT_HISTORY.md for migration history	Rewrite ownership sentence	Migration is not current mutable state	Context verifier
docs/context/CURRENT_STATE.md	Forward machine truth	Copies detailed represented and absent capability facts from the detailed ledger	CURRENT_DUPLICATE,REWRITE	CURRENT_STATE.md competing with rust/PARITY.md	rust/PARITY.md	Replace detail with bounded summary and link	Current state owns phase and authority not exhaustive capability	Duplicate-owner and reference audits
docs/context/CURRENT_STATE.md	Forward machine truth	Says old C++ anchors and commands remain in the current detailed ledger	CURRENT_STALE,REWRITE	rust/PARITY.md	PROJECT_HISTORY.md and Git history	Remove claim and point history to its owner	The redefined capability ledger contains no transition transcript	Reference audit
docs/context/PROJECT_HISTORY.md	Era 4	Says dated seam records remain inside the current rust/PARITY.md	CURRENT_STALE,REWRITE	rust/PARITY.md current file	Git history at adoption commit and PROJECT_HISTORY.md	Rewrite evidence wording	The current capability ledger must not carry terminal-wall chronology	History review and reference audit
docs/context/PROJECT_HISTORY.md	Eras 1 through 7	Uniquely preserves why C++ was retired parity was waived Git owns source and Rust remains incomplete	HISTORICAL_VALID,KEEP	docs/context/PROJECT_HISTORY.md	docs/context/PROJECT_HISTORY.md	Keep and add the accepted-absence list from redundant page	Durable chronology must survive cleanup	Retained-history audit
docs/context/DECISION_LOG.md	D001 D002 D004 D005 D016 D017 D018 D019	Preserves machine-host law proof limits worktree authority retirement authentic boot and cleanup decisions	DECISION_VALID,KEEP	docs/context/DECISION_LOG.md	docs/context/DECISION_LOG.md	Keep decisions	Accepted choices are durable and not terminal history	Decision review
docs/context/DECISION_LOG.md	D008 and D017 owners	Links the redundant retired-C++ subsystem page	CURRENT_STALE,REWRITE	historical-cpp-reference.md	PROJECT_HISTORY.md and CURRENT_STATE.md	Repair owner links	Decision owner must survive page deletion	Local links
docs/context/CONTEXT_MATRIX.md	retired C++ history row	Models retired chronology as a current subsystem boundary and links redundant page	CURRENT_STALE,REMOVE	historical-cpp-reference.md	PROJECT_HISTORY.md plus Git history	Remove row and update related-evidence wording	Historical chronology is not an active source boundary	Context verifier and matrix review
docs/context/CONTEXT_MANIFEST.json	historical-cpp-reference node	Digest manifest includes a redundant historical subsystem node	CURRENT_STALE,REMOVE	CONTEXT_MANIFEST.json	PROJECT_HISTORY.md and DECISION_LOG.md nodes already present	Remove node	Manifest must match canonical context nodes	context-sha and context-verify
docs/context/subsystems/historical-cpp-reference.md	entire page	Duplicates retirement status parity waiver Git archive and absence facts already owned by history and decisions	CURRENT_DUPLICATE,REMOVE	historical-cpp-reference.md	PROJECT_HISTORY.md and DECISION_LOG.md	Delete after preserving accepted-absence list	The page no longer describes an active boundary	Inbound-link and manifest audits
docs/context/subsystems/host-runtime.md	Related evidence	Links redundant retired-C++ subsystem page	CURRENT_STALE,REWRITE	historical-cpp-reference.md	PROJECT_HISTORY.md	Repair link	Host boundary remains active while retired implementation detail is history	Local links
docs/context/subsystems/host-runtime.md	current absence paragraph	Calls accepted host absence a non-migration claim	CURRENT_STALE,REWRITE	host-runtime.md	host-runtime.md	Use current ownership wording	Current absence needs no migration frame	Reference audit
docs/context/subsystems/cpu-execution.md	Accepted proof	Uses current parity comparison wording against C++ output	CURRENT_STALE,REWRITE	cpu-execution.md	cpu-execution.md plus rust/PARITY.md	Replace with source/evidence ownership wording	Retired output is not a current comparator	Reference audit
docs/context/subsystems/exceptions-and-cop0.md	limits	Calls rust/PARITY.md a detailed parity ledger and frames authority through C++ names	CURRENT_STALE,REWRITE	exceptions-and-cop0.md and rust/PARITY.md	rust/PARITY.md as capability ledger	Rewrite labels only	Keep capability limits without active comparison language	Reference audit
docs/context/subsystems/machine-core.md	header	Calls the detailed owner an exhaustive parity ledger	CURRENT_STALE,REWRITE	machine-core.md and rust/PARITY.md	rust/PARITY.md as capability ledger	Rewrite label	Machine context owns stable architecture not comparison state	Context verifier
docs/context/subsystems/memory-and-cartridge.md	header	Uses exhaustive access parity as the negative owner description	CURRENT_STALE,REWRITE	memory-and-cartridge.md	rust/PARITY.md as capability ledger	Rewrite label	Current capability is not parity work	Context verifier
docs/context/subsystems/build-and-tooling.md	retired build paragraph	States CMake and C++ are absent and no compatibility gate exists	KEEP	build-and-tooling.md	build-and-tooling.md	Keep current boundary	It prevents obsolete operational interpretation	Reference classification
docs/context/subsystems/inspection-and-evidence.md	probe boundary	States exact current probe limits without migration ownership	KEEP	inspection-and-evidence.md	inspection-and-evidence.md	Keep	Stable proof boundary is current and source-backed	Rust forward gate
docs/process/CONTEXT_DELTA.md	reread order	Calls the current detailed owner an ownership or migration ledger	CURRENT_STALE,REWRITE	CONTEXT_DELTA.md	rust/PARITY.md as capability ledger	Rewrite process wording	Current process must not preserve completed transition language	Reference audit
docs/process/PACKET_PROTOCOL.md	literal historical example	Clearly labels a non-executable historical packet with no active lane	TEST_FIXTURE_VALID,KEEP	PACKET_PROTOCOL.md	PACKET_PROTOCOL.md	Keep	It proves current packet structure rather than product transition policy	packet verifier and fleet suite
docs/boot_spine_checkpoint.md	entire page	Clearly labeled historical checkpoint uniquely preserves boot-adjacent C++ era facts and says commands are non-runnable	HISTORICAL_VALID,KEEP	docs/boot_spine_checkpoint.md	docs/boot_spine_checkpoint.md	Keep	Unique durable architecture checkpoint does not compete with current capability	Historical-label and link audit
rust/AGENTS.md	discovery and stop rules	Calls rust/PARITY.md parity ledger and makes parity wording a current stop boundary	CURRENT_STALE,REWRITE	rust/AGENTS.md and rust/PARITY.md	rust/PARITY.md current capability ledger	Rewrite labels without changing scope law	Rust is the sole implementation and capability absence remains explicit	Context verifier
rust/README.md	Current Scope	Copies hundreds of lines of mutable detailed capability from rust/PARITY.md and retains active C++ comparison wording	CURRENT_DUPLICATE,REWRITE	rust/README.md competing with rust/PARITY.md	rust/PARITY.md	Replace with workspace boundary layout law and canonical links	Workspace README is orientation not detailed mutable state	Duplicate-owner and reference audits
rust/PARITY.md	entire file	A 4504-line migration transcript mixes current capability with sidecar parity replacement gates stale C++ anchors and terminal-wall seam history	CURRENT_STALE,REWRITE	rust/PARITY.md mixed owner	rust/PARITY.md current represented-machine capability only	KEEP_AND_REDEFINE	Stable path is useful but transition machinery is obsolete	Reference audit detailed-ledger count and Rust gate
tools/fleet/**	all tracked source	No verifier branch requires C++ CMake retired binaries or migration authority	KEEP	tools/fleet source	tools/fleet source	Keep unchanged	Fleet behavior is current and already narrow	sh -n and complete fleet suite
tools/fleet/fixtures/packets/valid-context-delta.packet	Root-To-Local-Reread-Instruction	A current valid fixture calls the detailed owner parity instead of capability	CURRENT_STALE,REWRITE	valid context-delta fixture	valid context-delta fixture	Rewrite one phrase	The fixture should model current discovery language without changing verifier behavior	Packet validation and complete fleet suite
tools/fleet/fixtures/** except valid-context-delta.packet	all remaining tracked fixtures	The other 38 fixtures prove current context packet queue evidence or worktree rules; placeholder-named fixtures intentionally prove rejection	TEST_FIXTURE_VALID,KEEP	tools/fleet fixtures	tools/fleet fixtures	Keep 38 fixtures unchanged	Names do not encode obsolete product policy	Complete fleet suite
ops/evidence/master-provisioned-worker-worktrees-v1/CANCELED_LANE_RESIDUE_AUDIT.md	Evidence boundary	Clearly historical evidence records that canceled C++ inventory topology never existed and no command ran	HISTORICAL_VALID,KEEP	canceled-lane evidence	canceled-lane evidence	Keep	It uniquely proves preservation and non-mutation of canceled topology	Retained-history audit
ops/evidence/README.md	entire page	Current evidence schema index and explicit absence vocabulary	KEEP	ops/evidence/README.md	ops/evidence/README.md	Keep	Not transition machinery	Context verifier
repository tracked paths	placeholder and zero-byte audit	No placeholder directory file zero-byte file retired src directory or empty migration path exists	KEEP	Git tracked tree	Git tracked tree	No deletion	No source-clear dead path exists	Git enumeration
rust/	Cargo workspace location	Concurrent product ownership and current commands rely on workspace remaining under rust	KEEP	rust/Cargo.toml physical location	rust/Cargo.toml physical location	KEEP_RUST_WORKSPACE_UNDER_RUST	Moving would overlap product source and add compatibility machinery	Product immutability audit
docs/lanes/** and ops/fleet/integration-queue.json	cleanup lane coordination	Current lane and queue correctly encode pre-candidate coordination but are Master-owned	KEEP	Master coordination	Master coordination	Leave untouched and request follow-up	Worker lacks coordination authority	Forbidden-path diff audit
